model,horizon,seed,mse,mae
lstm,90,2026,481135.5625,548.8071899414062
lstm,90,2027,483986.25,553.5403442382812
lstm,90,2028,494244.5,562.9324951171875
lstm,90,2029,526323.9375,579.7123413085938
lstm,90,2030,422339.375,522.3309326171875
transformer,90,2026,608315.0,621.1463012695312
transformer,90,2027,552118.9375,580.79052734375
transformer,90,2028,587030.875,603.8966064453125
transformer,90,2029,532804.0625,581.2555541992188
transformer,90,2030,605978.0,613.31884765625
hybrid,90,2026,509877.03125,561.728271484375
hybrid,90,2027,530246.9375,577.853759765625
hybrid,90,2028,554559.4375,579.1329956054688
hybrid,90,2029,512887.28125,568.5548706054688
hybrid,90,2030,481043.9375,545.4638061523438
lstm,365,2026,242341.625,371.04803466796875
lstm,365,2027,200151.046875,332.9147644042969
lstm,365,2028,191568.640625,324.09429931640625
lstm,365,2029,235421.40625,365.851318359375
lstm,365,2030,201245.171875,333.8258056640625
transformer,365,2026,323060.25,437.2515563964844
transformer,365,2027,300932.875,420.427490234375
transformer,365,2028,385158.3125,480.54931640625
transformer,365,2029,340263.15625,449.5801696777344
transformer,365,2030,327468.9375,439.0450744628906
hybrid,365,2026,212942.671875,346.1488037109375
hybrid,365,2027,204757.84375,339.2064208984375
hybrid,365,2028,240147.828125,371.60394287109375
hybrid,365,2029,215413.4375,349.7128601074219
hybrid,365,2030,231047.375,362.4403076171875
